dataset,method,IBS_HM,mse,Max_brier,mae,mdape,fit_time,inference_time,r2,Max_brier_HM,IBS,mape,rmse,mean_roc,c_index,c_index_mean,mdape_t05,mdape_tE,mdape_tPDF
HNEI,DeepHit,,8018.1153125,0.0708832796705992,63.4728125,0.0993499084378081,28.874997854232788,0.0488214492797851,0.9227502243925008,,0.0418530800482858,0.5015029444602034,89.54392951227905,0.9774778715176158,0.9404605883075112,0.8556313272332952,0.0833977331272539,0.0788807391672821,0.140436089140575
HNEI,GradientBoosting,,7605.7265625,0.1475,69.1721875,0.1073454706086517,20.405632495880127,0.3555896282196045,0.9267233449026152,,0.0509321418989859,0.8564561235976527,87.21081677464097,0.9080860324249972,0.9376496006868826,0.8344844494227401,0.110091743119266,0.1209322848305043,0.1006176440746753
HNEI,CoxPH,,23083.0546875,0.1158534476244695,120.0928125,0.1490426276496467,1.48730731010437,0.2517776489257812,0.7776084871010626,,0.0874682367539492,1.0608849564481246,151.9310853232478,0.9617612250655996,0.9176034018834536,0.913102953535215,0.1693671255315091,0.219441082832769,0.120408642399873
HNEI,RSF,,7440.44,0.0755694250940356,57.22875,0.0765578417614869,2.6271350383758545,0.3604724407196045,0.9283157826970873,,0.037852624203408,0.3753069100289863,86.25798513760914,0.9806121505601968,0.9387959690996628,0.7312885173884682,0.0734125836370297,0.0764691904192305,0.0718290461280787
HNEI,RDSM,,11253.7609375,0.0996119864803343,88.4271875,0.1312479253655724,4.244706869125366,0.8008894920349121,0.8915767018457535,,0.0723040008194174,0.9200995513303072,106.0837449258839,0.986353624790216,0.9364460506982604,0.8912672437011457,0.2019904931669637,0.1964881631101838,0.2263253704649974
Azure,GradientBoosting,,20331.28578987284,0.1991912036433422,90.91442529850616,0.3036649214659686,178.0659897327423,4.055170059204102,0.2364943578921045,,0.0877673428070284,1.4663931210915115,142.58781781720637,0.8037147957806976,0.7376618350583677,0.7375841619518951,0.568,0.7540049104548748,0.9647887323943662
Azure,DeepHit,,27729.380853277835,0.2230715374455374,86.97382669888358,0.0933333333333333,693.0370783805847,1.111194372177124,-0.0413280769572368,,0.0951166729366445,1.1745375789032075,166.52141259693252,0.1923975553403047,,0.6120610575335286,0.4827586206896552,0.8898584361488241,0.9283783783783784
Azure,CoxPH,,26272.85611739184,0.2820211878646712,122.07712658071571,0.449438202247191,19.22125577926636,4.716875553131104,0.0133691451079114,,0.1045118003408783,2.5603666043514703,162.08903762251117,0.4066414296046918,,0.5554573149918247,0.5572916666666666,0.8210895089874376,1.9227642276422765
Azure,RSF,,26850.876876135382,0.193904682941712,75.68366285119667,0.0533333333333333,3942.556644201279,5.653157949447632,-0.0083374068100201,,0.1019244008287984,0.5343481404478653,163.86237175183138,0.1746860732982317,,0.5786251802282989,0.2105263157894736,0.8565826708844526,0.0365853658536585
Azure,RDSM,,19610.098855359,0.2304989539876255,91.48628723610646,0.3539823008849557,73.21528267860413,32.47232103347778,0.2635772634794178,,0.0915126334358231,0.8657616162067836,140.0360626958606,0.1872408653265233,,0.620442690127168,0.6409185803757829,0.7511017047013587,0.4676425269645609
